freq,f_len,max_subgram_freq,partial_order,min_support,mutual_confidence,f_avg_wordlength,f_pos_nn,f_pos_prop,f_pos_verb,f_pos_adj,f_pos_deter,f_pos_empty,f_pos_other,f_completeness,f_postagUniqueness,is_know_phrase
14,1,0,0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
1,2,0,0,0.07,-1,4.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
30,2,0,0,2.14,-1,5.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
1,4,67,0,0.07,-1,7.25,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0,2
1,3,1,0,0.07,-1,3.0,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
1,3,1,0,0.07,-1,3.33,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
1,2,0,0,0.07,-1,5.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
9,4,0,0,0.64,-1,5.5,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0,0,2
4,1,0,0,0.29,-1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1,2,0,0,0.07,-1,6.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
1,3,0,0,0.07,-1,6.67,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,2
14,3,5,0,1.0,-1,6.67,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
1,5,0,0,0.07,-1,3.6,0.6,0.0,0.0,0.2,0.0,0.2,0.0,0,0,2
1,8,0,0,-1,-1,3.88,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0,0,1
1,6,0,0,-1,-1,3.17,0.333,0.0,0.0,0.333,0.0,0.333,0.0,0,0,1
2,2,0,0,0.14,-1,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
1,3,2,0,0.07,-1,2.67,0.333,0.0,0.0,0.333,0.0,0.333,0.0,0,0,1
2,2,0,0,0.14,-1,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
1,4,2,0,0.07,-1,3.5,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0,2
1,3,0,0,0.07,-1,2.33,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
15,6,0,0,-1,-1,4.67,0.833,0.0,0.0,0.0,0.0,0.167,0.0,0,0,2
1,2,0,0,0.07,-1,2.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
1,2,0,0,0.07,-1,1.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
1,4,3,0,0.07,-1,5.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
1,8,1,0,-1,-1,4.75,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0,0,2
25,1,0,0,1.79,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
2,3,0,0,0.08,-1,5.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,3,0,0,0.04,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,3,1,0,0.07,-1,9.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
1,4,1,0,0.07,-1,7.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,1
3,1,0,0,0.21,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
3,3,0,0,0.21,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
2,3,1,0,0.14,-1,8.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
1,3,1,0,0.07,-1,9.33,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,10.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,2,0,0,0.07,-1,10.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,2
2,1,0,0,0.14,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,3,1,0,0.07,-1,8.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
48,1,0,0,3.43,-1,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
1,5,1,0,0.02,-1,4.2,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0,0,2
2,2,0,0,0.14,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,3,2,0,0.07,-1,6.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,3,21,0,0.07,-1,7.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
