phrase,freq,f_len,max_subgram_freq,partial_order,min_support,mutual_confidence,f_avg_wordlength,f_pos_nn,f_pos_prop,f_pos_verb,f_pos_adj,f_pos_deter,f_pos_empty,f_pos_other,f_completeness,f_postagUniqueness,is_know_phrase
,14,1,0,0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
JJ amaps),1,2,0,0,0.07,-1,4.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
JJ component,30,2,0,0,2.14,-1,5.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
NN naval warfare experimentation,1,4,67,0,0.07,-1,7.25,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0,2
NN nl sound,1,3,1,0,0.07,-1,3.0,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
NN pay raise,1,3,1,0,0.07,-1,3.33,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
NN reduction,1,2,0,0,0.07,-1,5.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
NN system subsystem model,9,4,0,0,0.64,-1,5.5,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0,0,2
NNP,4,1,0,0,0.29,-1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
NNP management,1,2,0,0,0.07,-1,6.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
NNP operation analysis,1,3,0,0,0.07,-1,6.67,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,2
NNP technology concept,14,3,5,0,1.0,-1,6.67,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
a c vn weapon elevator,1,5,0,0,0.07,-1,3.6,0.6,0.0,0.0,0.2,0.0,0.2,0.0,0,0,2
a c vn-capable haw c al l-up-round (au,1,8,0,0,-1,-1,3.88,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0,0,1
a c vn-capable haw c aur,1,6,0,0,-1,-1,3.17,0.333,0.0,0.0,0.333,0.0,0.333,0.0,0,0,1
a d,2,2,0,0,0.14,-1,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
a r ailgun,1,3,2,0,0.07,-1,2.67,0.333,0.0,0.0,0.333,0.0,0.333,0.0,0,0,1
a r,2,2,0,0,0.14,-1,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1
a r ailgun launch,1,4,2,0,0.07,-1,3.5,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0,2
a s ystem,1,3,0,0,0.07,-1,2.33,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
a t echnology readiness level (tr,15,6,0,0,-1,-1,4.67,0.833,0.0,0.0,0.0,0.0,0.167,0.0,0,0,2
a esa),1,2,0,0,0.07,-1,2.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
